ASIN,marketplace,keywords_tracked,top10_kw,top10_sv,top50_kw,top50_sv
B00RBUM5JQ,co.uk,25,10,15619,21,18369
B00RBUM5JQ,de,25,18,14642,25,19471
B00RBUM5JQ,fr,9,3,7711,8,9194
B00RCYQUII,co.uk,25,0,0,0,0
B00RCYQUII,de,25,12,27351,18,29229
B00SBSJ16C,es,25,1,1182,8,3712
B00SBSJ16C,fr,25,2,1641,5,3676
B00XJE09CI,co.uk,25,4,1971,13,18302
B00XU8AUC2,it,21,8,5144,13,6616
B01D3FVKBG,it,25,13,15218,25,24636
B01MCZD91A,de,25,9,10554,21,37445
B072VJ9FFZ,co.uk,25,17,9385,23,23923
B072VJ9FFZ,de,25,21,18049,24,22412
B072VJ9FFZ,fr,25,2,824,21,6715
B072VJ9FFZ,it,25,15,6847,25,12100
B075T82C1X,fr,10,6,4046,9,5287
B075T9G9YS,co.uk,25,24,20095,25,20345
B075T9G9YS,fr,10,9,8438,9,8438
B075T9G9YS,it,25,13,12699,21,15285
B077QQ2XV8,fr,25,8,5590,23,33335
B07C5Q7T4D,co.uk,25,5,2121,19,23055
B07C5Q7T4D,it,25,9,10942,25,55299
B07F14GMP2,it,25,10,2933,18,48561
B07F1FKM3M,co.uk,25,11,11912,21,31170
B07F1FKM3M,de,24,21,23469,23,24838
B07F1FKM3M,es,10,10,5800,10,5800
B07WH27VXM,de,25,6,1760,22,18573
B07WH27VXM,it,25,13,4699,19,8961
B082XFTS6H,it,25,19,31990,25,40535
B086XBB126,de,23,12,7123,20,15448
B08GCTM58N,it,26,3,750,26,109756
B08JC2YLYL,de,24,1,6318,14,26590
B08JC2YLYL,it,24,9,6550,22,18732
B08JC9NN3X,de,7,5,2809,7,3309
B08JC9XBGM,co.uk,25,0,0,4,1995
B08JC9XBGM,de,21,12,10736,20,17649
B08NPF3LJ7,co.uk,14,0,0,0,0
B08NPF3LJ7,fr,17,15,6849,15,6849
B08QVYP7YH,de,25,9,3380,25,48556
B08QVYP7YH,fr,25,8,5393,17,14602
B08VWKYVKS,it,25,5,2952,24,46552
B08XZLYCZ5,de,25,7,19472,25,53297
B08XZLYCZ5,it,25,22,24096,25,25056
B08XZMCR17,co.uk,25,3,750,25,63152
B08XZMCR17,fr,25,7,2722,24,25000
B091Z4JQBD,de,25,0,0,0,0
B094R1JQ6K,de,25,0,0,5,1475
B094R1JQ6K,es,25,1,250,24,39389
B094R1JQ6K,fr,25,0,0,9,15271
B094R1JQ6K,it,26,0,0,20,25166
B096W2GHQV,co.uk,25,5,7518,15,20164
B096W2GHQV,de,25,7,15000,24,40101
B096W2GHQV,fr,25,4,1352,16,6641
B096W54FGM,fr,8,3,1598,6,2922
B09C6FG128,co.uk,12,6,8355,12,10661
B09C6FG128,de,20,9,11620,17,14248
B09C6GDG72,fr,3,0,0,0,0
B09JCNKXV5,co.uk,25,4,1000,22,18619
B09JCNKXV5,de,25,4,4817,24,16142
B09JCNKXV5,it,25,10,7861,20,11201
B09NRH4J1C,co.uk,25,0,0,0,0
B09NRH4J1C,it,25,0,0,0,0
B09TJXLQ4Z,fr,19,1,250,4,2150
B0BD81KP8K,it,25,13,19294,24,23960
B0BK8STFVG,it,25,13,8913,24,36869
B0BK8X47M5,co.uk,19,15,7889,19,20810
B0BK8X47M5,de,25,20,29755,25,34400
B0BK8X47M5,es,25,9,13318,10,13568
B0BK8X47M5,fr,8,7,11164,8,11634
B0BK8X47M5,it,25,22,20040,24,20540
B0BMQXCX1X,de,25,3,750,14,28441
B0BMQXCX1X,it,30,6,2916,18,9753
B0BSQVND4T,de,23,1,250,3,2732
B0BX76VGXP,it,27,5,8622,23,19066
B0C6FHKNM7,it,28,12,3000,27,11357
B0C8Z557HT,de,25,3,1783,22,13856
B0C93RMXRR,de,25,19,12672,24,14356
B0CB87LMH1,de,25,4,2518,20,14537
B0CPJG6XL8,fr,8,5,6134,7,6884
B0CPJG6XL8,it,25,10,16833,22,21507
B0D22ZQTSC,it,25,25,33529,25,33529
B0D637HBP1,es,25,0,0,24,196562
B0D637HBP1,it,26,6,173941,26,190343
B0DHL6WSMT,de,25,4,2033,22,13856
B0DJP4W7KC,de,25,3,997,22,40624
B0DQDQCSRT,fr,18,9,3551,14,7790
B0DQDRRFPF,fr,12,0,0,8,11634
B0DR9CLXV5,de,25,2,1552,15,49123
