Period,Seller Partner ID,Store Name,Marketplace,Marketplace Name,Parent ASIN,Child ASIN,SKU,Product,CM1%,CM2%,CM3%,Sponsored Spend,ROAS,CTR,Orders,Units,Product Sales,FBA Available,Days of Supply,Sales Velocity,Brand,UK filters,FR filters,ES filters,DE filters,IT filters
2025-05-26,A1FIL6DVBUAHK1,Vanatari International GmbH,A13V1IB3VIYZZH,amazon.fr,B00N1QKQ5Y,B00N1QKQ5Y,VI-ZU99-SZ0B,"L-Tryptophan 500 mg Vegavero | Aus natürlicher Fermentation | > 99,5% reines L Tryptophan | Laborgeprüft | Vegan & Ohne Zusätze | 120 Kapseln",,,,0.0,,,0,0,0.0,,,,Vegavero,,,Top Seller,,
2025-05-26,A1FIL6DVBUAHK1,Vanatari International GmbH,A13V1IB3VIYZZH,amazon.fr,B00RBUM5JQ,B00RBUM5JQ,BJ-E223-8EKW,Moringa BIO 1800 mg | 270 Gélules Vegan | SUPERFOOD : Multivitamines et Minéraux Naturels | Antioxydant + Energie | SANS ADDITIFS | Vegavero®,,,,0.0,,,0,0,0.0,,,,Vegavero,Top Seller,Top Seller,Top Seller,Top Seller,
2025-05-26,A1FIL6DVBUAHK1,Vanatari International GmbH,A13V1IB3VIYZZH,amazon.fr,B01D3FVKBG,B01D3FVKBG,VV-VITA-39,D-Mannose + Cranberry Vegavero | 100% Natürlich | 2.000 mg pro Tag | Mit Vitamin C aus Acerola | Vegan & Ohne Zusätze | 120 Kapseln,,,,0.0,,,0,0,0.0,,,,Vegavero,,,Top Seller,,Top Seller
2025-05-26,A1FIL6DVBUAHK1,Vanatari International GmbH,A13V1IB3VIYZZH,amazon.fr,B01G7428BG,B01G7428BG,VV-VITA-63,Vegavero Cordyceps Sinensis 19 500 mg Daily | 10:1 Mushroom Extract | 4-Month Supply | 40% Polysaccharides | NO Additives | Lab-Tested | Vegan,,,,0.0,,,0,0,0.0,,,,Vegavero,,,,,
2025-05-26,A1FIL6DVBUAHK1,Vanatari International GmbH,A13V1IB3VIYZZH,amazon.fr,B06XR9VG7N,B06XR9VG7N,VV-VITA-86,"MSM 365 Cápsulas Vegavero | 99,9% Puro | 2000 mg | Sin Aditivos | Metilsulfonilmetano | Antiinflamatorio Natural + Articulaciones + Dolor Espalda | V",,,,0.0,,,0,0,0.0,,,,Vegavero,,,,,
2025-05-26,A1FIL6DVBUAHK1,Vanatari International GmbH,A13V1IB3VIYZZH,amazon.fr,B072VJ9FFZ,B072VJ9FFZ,VV-VITA-90,Betacarotene per Abbronzatura Forte | Altamente Dosato | da Estratto di Carota | Attivatore Naturale Melanina | con Vitamina A 1167 mcg | Certificato,,,,0.0,,,0,0,0.0,,,,Vegavero,Top Seller,Top Seller,,Top Seller,
2025-05-26,A1FIL6DVBUAHK1,Vanatari International GmbH,A13V1IB3VIYZZH,amazon.fr,B076M64FW6,B076M64FW6,VV-VITA-105,"Vegavero Panax Ginseng | 4,800 mg (8:1 Extract) | with 20% Ginsenosides | NO Additives | 120 Vegan Capsules | Korean Red Ginseng",,,,0.0,,,0,0,0.0,,,,Vegavero,,Top Seller,,,
2025-05-26,A1FIL6DVBUAHK1,Vanatari International GmbH,A13V1IB3VIYZZH,amazon.fr,B07C5Q7T4D,B07C5Q7T4D,VV-VITA-119,"Vegavero Magnesium 2,000 mg + Potassium 2,083 mg | High Strength Citrate Forms | 180 Vegan Capsules | Electrolytes for Hydration & Recovery | 45 Day S",,,,0.0,,,0,0,0.0,,,,Vegavero,Top Seller,,Top Seller,,
2025-05-26,A1FIL6DVBUAHK1,Vanatari International GmbH,A13V1IB3VIYZZH,amazon.fr,B07CL1MGP7,B00RCYQUII,2R-49NC-R697,Vegavero Pure MSM Powder 1 kg | Bag | Distilled Organic Sulphur | NO Additives & Non GMO | Lab-Tested | 1000 g Per Day | Vegan,,,,0.0,,,0,0,0.0,,,,Vegavero,Top Seller,,,Top Seller,
2025-05-26,A1FIL6DVBUAHK1,Vanatari International GmbH,A13V1IB3VIYZZH,amazon.fr,B07F14GMP2,B07F14GMP2,VV-VITA-124,Vegavero Natural Vitamin C Supplement | Organic Vit C from Acerola Cherry Extract | 225% NRV | NO Additives| 180 Capsules | Vegan,,,,0.0,,,0,0,0.0,,,,Vegavero,,,,,
2025-05-26,A1FIL6DVBUAHK1,Vanatari International GmbH,A13V1IB3VIYZZH,amazon.fr,B07WH27VXM,B07WH27VXM,VV-VITA-151,"Vegavero Hormone Balance for Women | PMS Supplements | NO Additives | 180 Capsules | Vitex Agnus Castus, Lady's Mantle, Folic Acid (Quatrefolic®) Mac",,,,0.0,,,0,0,0.0,,,,Vegavero,,Top Seller,,Top Seller,Top Seller
2025-05-26,A1FIL6DVBUAHK1,Vanatari International GmbH,A13V1IB3VIYZZH,amazon.fr,B081TJ62WV,B081TJ62WV,VV-VITA-155,"Vegavero Organic Reishi Extract | 18,000 mg (15:1) Ganoderma Lucidum | with Polysaccharides & Beta Glucans | Mushroom Supplement | 90 Capsules | Vegan",,,,0.0,,,0,0,0.0,,,,Vegavero,,,,,
2025-05-26,A1FIL6DVBUAHK1,Vanatari International GmbH,A13V1IB3VIYZZH,amazon.fr,B082XFTS6H,B082XFTS6H,VV-VITA-159,Vegavero ® Pastilles EAA - 100 % naturelles - Non synthétique - Tous les 8 EAA y compris BCAA (2:1:1) + Histidin - Vegan - 1000 mg d'acides aminés,,,,0.0,,,0,0,0.0,,,,Vegavero,,,,,Top Seller
2025-05-26,A1FIL6DVBUAHK1,Vanatari International GmbH,A13V1IB3VIYZZH,amazon.fr,B085YDZPXM,B085YDZPXM,VV-VITA-165,"Trans Resveratrol Natural 1000 mg | Con Vitamina B3 y Piperina | Sin Aditivos | Antienvejecimiento, Antioxidante y Antiedad | Vegano | Vegavero",,,,0.0,,,0,0,0.0,,,,Vegavero,,,Top Seller,,
2025-05-26,A1FIL6DVBUAHK1,Vanatari International GmbH,A13V1IB3VIYZZH,amazon.fr,B08DCY34MX,B08DCY34MX,VV-VITA-188,Ortie BIO Vegavero® | Extraction en FRANCE | 1800 mg (Extrait 4:1) | Extraits de Racine & de Feuille | Sans Additifs | Diurétique Naturel + Confort,,,,0.0,,,0,0,0.0,,,,Vegavero,,,,,
